Username,Comment,Normalisasi,Tokenization,Stopwords,Stemming,Translated
@heriyanto-k3p,Mungkin hitung cepat sedang eror ... Suara kecil bisa jadi gede . Suara gede bisa jadi kecil . Kepada tim hukum jangan diam saja terus tuntut dan cari tau di mna titik kecurangan nya ...,mungkin hitung cepat sedang eror suara kecil bisa jadi gede suara gede bisa jadi kecil kepada tim hukum jangan diam saja terus tuntut dan cari tau di mana titik kecurangan ya,"['mungkin', 'hitung', 'cepat', 'sedang', 'eror', 'suara', 'kecil', 'bisa', 'jadi', 'gede', 'suara', 'gede', 'bisa', 'jadi', 'kecil', 'kepada', 'tim', 'hukum', 'jangan', 'diam', 'saja', 'terus', 'tuntut', 'dan', 'cari', 'tau', 'di', 'mana', 'titik', 'kecurangan', 'ya']","['hitung', 'cepat', 'eror', 'suara', 'gede', 'suara', 'gede', 'tim', 'hukum', 'diam', 'tuntut', 'cari', 'tau', 'titik', 'kecurangan']",hitung cepat eror suara gede suara gede tim hukum diam tuntut cari tau titik curang,Calculate the ERRO ERROR GEDE VOICE GIGHT SUDGE THE LEGAL TEAM SHEAT SHOULD RECORDING
@kussairi398,Selamat pak Prabowo kuatkan pertahanan alutsita  negara kita itu sangat penting beli pesawat lagi yg lebih canggih bantulah palestina secara militer,selamat pak prabowo kuatkan pertahanan alutsita negara kita itu sangat penting beli pesawat lagi yang lebih canggih bantulah palestina secara militer,"['selamat', 'pak', 'prabowo', 'kuatkan', 'pertahanan', 'alutsita', 'negara', 'kita', 'itu', 'sangat', 'penting', 'beli', 'pesawat', 'lagi', 'yang', 'lebih', 'canggih', 'bantulah', 'palestina', 'secara', 'militer']","['selamat', 'prabowo', 'kuatkan', 'pertahanan', 'alutsita', 'negara', 'beli', 'pesawat', 'canggih', 'bantulah', 'palestina', 'militer']",selamat prabowo kuat tahan alutsita negara beli pesawat canggih bantu palestina militer,Congratulations Prabowo Strong ALUTSITA COUNTRY BUY SAVE SAVE MILITY ABOUT MILITARY
@lynaolivia2576,bansos yg penting sampai ke rakuat.lah bagaimana dgn koroptor,bansos yang penting sampai ke rakuat lah bagaimana dengan koroptor,"['bansos', 'yang', 'penting', 'sampai', 'ke', 'rakuat', 'lah', 'bagaimana', 'dengan', 'koroptor']","['bansos', 'rakuat', 'koroptor']",bansos rakuat koroptor,Coroptor Rakuat Social Assistance
@MuhammadAnwar-re5bi,Bego luhh emngg 01 jelass,bego luhh emngg jelass,"['bego', 'luhh', 'emngg', 'jelass']","['bego', 'luhh', 'emngg', 'jelass']",bego luhh emngg jelass,stupid luhh clearly
@Bg-Mahulu,Masa depan mulu  . Kejasteraan mulu  .. dari dulu nyanyian politik nya itu itu tapi gak  terbukti hahaha .. 😂😂,masa depan mulu kejasteraan mulu dari dulu nyanyian politik ya itu itu tapi tidak terbukti hahaha,"['masa', 'depan', 'mulu', 'kejasteraan', 'mulu', 'dari', 'dulu', 'nyanyian', 'politik', 'ya', 'itu', 'itu', 'tapi', 'tidak', 'terbukti', 'hahaha']","['mulu', 'kejasteraan', 'mulu', 'nyanyian', 'politik', 'terbukti', 'hahaha']",mulu kejasteraan mulu nyanyi politik bukti hahaha,Mulu Kejasteran Mulu Sing Politics Evidence hahaha
@kerorogunzo11,"Yang suka nyinyir ada baiknya keluarkn gagasan2 baik dari hati dan pikiran kalian,bersatu membangun Indonesia ❤❤❤<br>Drpd klian sibuk nyinyir ini itu yg mmbuat keadaan runyam <br>Berbedabeda ttp 1 menuju Indonesia makmur",yang suka nyinyir ada baiknya keluarkn gagasan2 baik dari hati dan pikiran kalianbersatu membangun indonesia daripada kalian sibuk nyinyir ini itu yang mmbuat keadaan runyam berbedabeda tetap menuju indonesia makmur,"['yang', 'suka', 'nyinyir', 'ada', 'baiknya', 'keluarkn', 'gagasan2', 'baik', 'dari', 'hati', 'dan', 'pikiran', 'kalianbersatu', 'membangun', 'indonesia', 'daripada', 'kalian', 'sibuk', 'nyinyir', 'ini', 'itu', 'yang', 'mmbuat', 'keadaan', 'runyam', 'berbedabeda', 'tetap', 'menuju', 'indonesia', 'makmur']","['suka', 'nyinyir', 'baiknya', 'keluarkn', 'gagasan2', 'hati', 'pikiran', 'kalianbersatu', 'membangun', 'indonesia', 'sibuk', 'nyinyir', 'mmbuat', 'runyam', 'berbedabeda', 'indonesia', 'makmur']",suka nyinyir baik keluarkn gagasan2 hati pikir kalianbersatu bangun indonesia sibuk nyinyir mmbuat runyam berbedabeda indonesia makmur,"likes to be good out of ideas, think of your heart, think that you build Indonesia, you are busy nyinyir made a wisdom different Indonesia"
@riamriamkamang4691,"enak aja minta maap setelah begitu brutalnya membuli capres lain, dasar tidak punya harga diri",enak saja meminta maaf setelah begitu brutalnya membuli capres lain dasar tidak punya harga diri,"['enak', 'saja', 'meminta', 'maaf', 'setelah', 'begitu', 'brutalnya', 'membuli', 'capres', 'lain', 'dasar', 'tidak', 'punya', 'harga', 'diri']","['enak', 'maaf', 'brutalnya', 'membuli', 'capres', 'dasar', 'harga']",enak maaf brutal membuli capres dasar harga,delicious sorry brutal bunching basic presidential candidates
@srisri9407,Mudahan allah ijinkan pak peabowo yg manang dan jadi pemimpin indonesia ❤biyar diberkati negara kt amin,mudahan allah ijinkan pak peabowo yang manang dan jadi pemimpin indonesia biyar diberkati negara kita amin,"['mudahan', 'allah', 'ijinkan', 'pak', 'peabowo', 'yang', 'manang', 'dan', 'jadi', 'pemimpin', 'indonesia', 'biyar', 'diberkati', 'negara', 'kita', 'amin']","['mudahan', 'allah', 'ijinkan', 'peabowo', 'manang', 'pemimpin', 'indonesia', 'biyar', 'diberkati', 'negara', 'amin']",mudah allah ijinkan peabowo manang pimpin indonesia biyar kati negara amin,It's easy to allow God to allow peabowo manang to lead Indonesia biyar kati amen state
@damarnahsyun,Sehat  selalu  pak anis  dan pak muhaimin serta pak ganjar dan pak makhmud tetap sehat dan semangat,sehat selalu pak anis dan pak muhaimin serta pak ganjar dan pak makhmud tetap sehat dan semangat,"['sehat', 'selalu', 'pak', 'anis', 'dan', 'pak', 'muhaimin', 'serta', 'pak', 'ganjar', 'dan', 'pak', 'makhmud', 'tetap', 'sehat', 'dan', 'semangat']","['sehat', 'anis', 'muhaimin', 'ganjar', 'makhmud', 'sehat', 'semangat']",sehat anis muhaimin ganjar makhmud sehat semangat,Healthy Anis Muhaimin Ganjar Makhmud Sehat spirit
@ruthsundari5257,Dgn kata lain Ora legowo tho pak??? Yg penting rakyat lebih milih 02✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️,dengan kata lain ora legowo tho pak yang penting rakyat lebih memilih,"['dengan', 'kata', 'lain', 'ora', 'legowo', 'tho', 'pak', 'yang', 'penting', 'rakyat', 'lebih', 'memilih']","['ora', 'legowo', 'tho', 'rakyat', 'memilih']",ora legowo tho rakyat pilih,ora legowo tho people choose
@japethasudungansitompul7242,"Kami masyarakat dari Dumai, tidak ada di interpensi, memang murni kami memiliih Pak Prabowo Gibran raka buming raka sebagai Presiden Indonesia 🙏🙏🙏",kami masyarakat dari dumai tidak ada di interpensi memang murni kami memiliih pak prabowo gibran raka buming raka sebagai presiden indonesia,"['kami', 'masyarakat', 'dari', 'dumai', 'tidak', 'ada', 'di', 'interpensi', 'memang', 'murni', 'kami', 'memiliih', 'pak', 'prabowo', 'gibran', 'raka', 'buming', 'raka', 'sebagai', 'presiden', 'indonesia']","['masyarakat', 'dumai', 'interpensi', 'murni', 'memiliih', 'prabowo', 'gibran', 'raka', 'buming', 'raka', 'presiden', 'indonesia']",masyarakat dumai interpensi murni memiliih prabowo gibran raka buming raka presiden indonesia,Pure Interpensian Dumai Society Prabowo Gibran Raka Buming Raka President Indonesia
@NOVIGESTINURAENI,orang kaloah pling mentok ujung2 nya ngomong kurang,orang kaloah paling mentok ya mengomong kurang,"['orang', 'kaloah', 'paling', 'mentok', 'ya', 'mengomong', 'kurang']","['orang', 'kaloah', 'mentok', 'mengomong']",orang kaloah mentok omong,people if stuck talking
@abdulhamid1238,"Alhamdulillah,,selamat ya pak gemoy,semoga kepemimpinan BPK amanah,,selalu dlm ridho allah",alhamdulillahselamat ya pak gemoysemoga kepemimpinan bpk amanahselalu dalam ridho allah,"['alhamdulillahselamat', 'ya', 'pak', 'gemoysemoga', 'kepemimpinan', 'bpk', 'amanahselalu', 'dalam', 'ridho', 'allah']","['alhamdulillahselamat', 'gemoysemoga', 'kepemimpinan', 'bpk', 'amanahselalu', 'ridho', 'allah']",alhamdulillahselamat gemoysemoga pimpin bpk amanahselalu ridho allah,"Alhamdulillah, it is a good thing to lead, the leader of Bpk AmanahAlu, the blessing of Allah"
@alungbae1272,udah biasa kalo kalah pasti bilang ada kecurangan tinggal senyumin aja kan damai,sudah biasa kalau kalah pasti bilang ada kecurangan tinggal senyumi saja kan damai,"['sudah', 'biasa', 'kalau', 'kalah', 'pasti', 'bilang', 'ada', 'kecurangan', 'tinggal', 'senyumi', 'saja', 'kan', 'damai']","['kalah', 'bilang', 'kecurangan', 'tinggal', 'senyumi', 'damai']",kalah bilang curang tinggal senyum damai,Losing says cheating is just a peaceful smile
@jackabraham7469,"No 2 harga mati.TUHAN itu adil..siapa yg berpikiran kotor DIA AKAN SINGKIRKAN SENDIRI.TUHAN ,Memanv Adil.",no harga mati tuhan itu adil siapa yang berpikiran kotor dia akan singkirkan sendiri tuhan memanv adil,"['no', 'harga', 'mati', 'tuhan', 'itu', 'adil', 'siapa', 'yang', 'berpikiran', 'kotor', 'dia', 'akan', 'singkirkan', 'sendiri', 'tuhan', 'memanv', 'adil']","['no', 'harga', 'mati', 'tuhan', 'adil', 'berpikiran', 'kotor', 'singkirkan', 'tuhan', 'memanv', 'adil']",no harga mati tuhan adil pikir kotor singkir tuhan memanv adil,No Dead Price of God Fair Thinking Dirty Singkir God Matched Fair
@Yantivra,Lov yu no 2,lov yuk no,"['lov', 'yuk', 'no']","['lov', 'yuk', 'no']",lov yuk no,lov yuk no
@fajripadung774,Maaf anis amin belajar mengakui kekalahannya. Bukan mau mencari2 cara yg nda baik karna mau cari kekuasaan pribadi. Kami masarakat Indonesia udah pentar2 untuk menilai yg mana pimpinan yg baik mana yg buruk. Maaf bapak anis kami menilai bapak tidak baik jadi pimpinan karna bapak jadi orang tidak baik. Karena bapak kepentingan kekuasaan bapak rela menyatukan orang pena menolong bapak menjadi  orang sukses di lari bapak itu bapak tega menyatukan,maaf anis amin belajar mengakui kekalahannya bukan mau mencari2 cara yang indak baik karena mau cari kekuasaan pribadi kami masarakat indonesia sudah pentar2 untuk menilai yang mana pimpinan yang baik mana yang buruk maaf bapak anis kami menilai bapak tidak baik jadi pimpinan karena bapak jadi orang tidak baik karena bapak kepentingan kekuasaan bapak rela menyatukan orang pena menolong bapak menjadi orang sukses di lari bapak itu bapak tega menyatukan,"['maaf', 'anis', 'amin', 'belajar', 'mengakui', 'kekalahannya', 'bukan', 'mau', 'mencari2', 'cara', 'yang', 'indak', 'baik', 'karena', 'mau', 'cari', 'kekuasaan', 'pribadi', 'kami', 'masarakat', 'indonesia', 'sudah', 'pentar2', 'untuk', 'menilai', 'yang', 'mana', 'pimpinan', 'yang', 'baik', 'mana', 'yang', 'buruk', 'maaf', 'bapak', 'anis', 'kami', 'menilai', 'bapak', 'tidak', 'baik', 'jadi', 'pimpinan', 'karena', 'bapak', 'jadi', 'orang', 'tidak', 'baik', 'karena', 'bapak', 'kepentingan', 'kekuasaan', 'bapak', 'rela', 'menyatukan', 'orang', 'pena', 'menolong', 'bapak', 'menjadi', 'orang', 'sukses', 'di', 'lari', 'bapak', 'itu', 'bapak', 'tega', 'menyatukan']","['maaf', 'anis', 'amin', 'belajar', 'mengakui', 'kekalahannya', 'mencari2', 'indak', 'cari', 'kekuasaan', 'pribadi', 'masarakat', 'indonesia', 'pentar2', 'menilai', 'pimpinan', 'buruk', 'maaf', 'anis', 'menilai', 'pimpinan', 'orang', 'kepentingan', 'kekuasaan', 'rela', 'menyatukan', 'orang', 'pena', 'menolong', 'orang', 'sukses', 'lari', 'tega', 'menyatukan']",maaf anis amin ajar aku kalah mencari2 indak cari kuasa pribadi masarakat indonesia pentar2 nilai pimpin buruk maaf anis nilai pimpin orang penting kuasa rela satu orang pena tolong orang sukses lari tega satu,Sorry Anis Amin Ajar I lost to look for indak looking for personal power of the Indonesian community Pentar
@sitisumaria9039,Jgn bilang 02 curang suara rakyat LBH tau .jgn sampai rakyat turun gunung,jangan bilang curang suara rakyat lebih tau jangan sampai rakyat turun gunung,"['jangan', 'bilang', 'curang', 'suara', 'rakyat', 'lebih', 'tau', 'jangan', 'sampai', 'rakyat', 'turun', 'gunung']","['bilang', 'curang', 'suara', 'rakyat', 'tau', 'rakyat', 'turun', 'gunung']",bilang curang suara rakyat tau rakyat turun gunung,says the people's voice knows the people go down the mountain
@kadirpaolo3313,Itu logika yg sederhana kata2 yg di bawah,itu logika yang sederhana yang di bawah,"['itu', 'logika', 'yang', 'sederhana', 'yang', 'di', 'bawah']","['logika', 'sederhana']",logika sederhana,simple logic
@SuhartiNingsih-lf1bq,"Amanah mengayomi seluruh masyarakat Indonesia menuju Indonesia mas, amiiin yarobbal a&#39;lamiin",amanah mengayomi seluruh masyarakat indonesia menuju indonesia mas amin yarobbal alamiin,"['amanah', 'mengayomi', 'seluruh', 'masyarakat', 'indonesia', 'menuju', 'indonesia', 'mas', 'amin', 'yarobbal', 'alamiin']","['amanah', 'mengayomi', 'masyarakat', 'indonesia', 'indonesia', 'mas', 'amin', 'yarobbal', 'alamiin']",amanah ayom masyarakat indonesia indonesia mas amin yarobbal alamiin,Amanah Ayom Indonesian Indonesian Mas Amin Yarobbal Naturalin
@malinejohanes7467,Daerah kami saja ganjar-mahfud (sekitar 10 tps ) minim suara...gimana gak pede 😂,daerah kami saja ganjarmahfud sekitar tps minim suara bagaimana tidak,"['daerah', 'kami', 'saja', 'ganjarmahfud', 'sekitar', 'tps', 'minim', 'suara', 'bagaimana', 'tidak']","['daerah', 'ganjarmahfud', 'tps', 'minim', 'suara']",daerah ganjarmahfud tps minim suara,Ganjarmahfud TPS area minimal voting
@LarusdinLahamuru,Sudah saat alam berbicara..,sudah saat alam berbicara,"['sudah', 'saat', 'alam', 'berbicara']","['alam', 'berbicara']",alam bicara,Nature speaks
@jackabraham7469,"Buat apa kita pilih org yg dia yerpilih,dia masih mau urus palestina merdeka dulu baru jrus indonesia.kan gila.siapa yg mau pilih org org ke gitu.",buat apa kita pilih orang yang dia yerpilihdia masih mau urus palestina merdeka dulu baru jrus indonesia kan gila siapa yang mau pilih orang orang ke begitu,"['buat', 'apa', 'kita', 'pilih', 'orang', 'yang', 'dia', 'yerpilihdia', 'masih', 'mau', 'urus', 'palestina', 'merdeka', 'dulu', 'baru', 'jrus', 'indonesia', 'kan', 'gila', 'siapa', 'yang', 'mau', 'pilih', 'orang', 'orang', 'ke', 'begitu']","['pilih', 'orang', 'yerpilihdia', 'urus', 'palestina', 'merdeka', 'jrus', 'indonesia', 'gila', 'pilih', 'orang', 'orang']",pilih orang yerpilihdia urus palestina merdeka jrus indonesia gila pilih orang orang,Choose people who choose the Palestinian Palestinian Urus Jrus Indonesia Crazy Choose people
@FianWeking,"Memang pak prabowo terpilih sebagai presiden ri karena disukai rakyat,pak prabowo calon presiden yang tidak perna terlibat kasus korupsi, termasuk calon wapres pak Gibran,haleluyah!!",memang pak prabowo terpilih sebagai presiden ri karena disukai rakyatpak prabowo calon presiden yang tidak pernah terlibat kasus korupsi termasuk calon wapres pak gibranhaleluyah,"['memang', 'pak', 'prabowo', 'terpilih', 'sebagai', 'presiden', 'ri', 'karena', 'disukai', 'rakyatpak', 'prabowo', 'calon', 'presiden', 'yang', 'tidak', 'pernah', 'terlibat', 'kasus', 'korupsi', 'termasuk', 'calon', 'wapres', 'pak', 'gibranhaleluyah']","['prabowo', 'terpilih', 'presiden', 'ri', 'disukai', 'rakyatpak', 'prabowo', 'calon', 'presiden', 'terlibat', 'korupsi', 'calon', 'wapres', 'gibranhaleluyah']",prabowo pilih presiden ri suka rakyatpak prabowo calon presiden libat korupsi calon wapres gibranhaleluyah,Prabowo Choose the President of the Republic of Indonesia Suka Rakyatpak Prabowo Candidate for Presidential Corruption Corruption Candidates for Vice President Gibranhaleluyah
@ngurahsusrawan4203,"Slalu yg kalah tak legowo....kalau pemilu sdh di jalankan berarti sah...03 + 01 byk bacot pake tanya demokrasi, hargai suara rakyat??",selalu yang kalah tak legowo kalau pemilu sudah di jalankan berarti sah banyak bacot pakai tanya demokrasi hargai suara rakyat,"['selalu', 'yang', 'kalah', 'tak', 'legowo', 'kalau', 'pemilu', 'sudah', 'di', 'jalankan', 'berarti', 'sah', 'banyak', 'bacot', 'pakai', 'tanya', 'demokrasi', 'hargai', 'suara', 'rakyat']","['kalah', 'legowo', 'pemilu', 'jalankan', 'sah', 'bacot', 'pakai', 'demokrasi', 'hargai', 'suara', 'rakyat']",kalah legowo milu jalan sah bacot pakai demokrasi harga suara rakyat,Lose Legowo Milu Jalan Sah Bacot Use Democracy The price of the people's votes
@sutanbagindo2015,Hasil 1 - 2 QUICK COUNT masih blum percaya itu tandanya sedang menghibur diri dan mulai depresi tapi klo ada 6 QUICK COUNT yg hasilnya serupa tapi juga blum percaya.. itu orang harus segera di bawa ke RSJ... 😂😂😂😂😂😂😂😂😂,hasil quick count masih belum percaya itu tandanya sedang menghibur diri dan mulai depresi tapi kalau ada quick count yang hasilnya serupa tapi juga belum percaya itu orang harus segera di bawa ke rsj,"['hasil', 'quick', 'count', 'masih', 'belum', 'percaya', 'itu', 'tandanya', 'sedang', 'menghibur', 'diri', 'dan', 'mulai', 'depresi', 'tapi', 'kalau', 'ada', 'quick', 'count', 'yang', 'hasilnya', 'serupa', 'tapi', 'juga', 'belum', 'percaya', 'itu', 'orang', 'harus', 'segera', 'di', 'bawa', 'ke', 'rsj']","['hasil', 'quick', 'count', 'percaya', 'tandanya', 'menghibur', 'depresi', 'quick', 'count', 'hasilnya', 'percaya', 'orang', 'bawa', 'rsj']",hasil quick count percaya tanda hibur depresi quick count hasil percaya orang bawa rsj,Quick count results Believe in the mushmark of depression Quick count results of trusting people bring RSJ
@MaikelarielParaeng,Hitungan itu belum di pastikan karna mesin hitung itu ada KPU yg valid awas jgn curang awasi terus,hitungan itu belum di pastikan karena mesin hitung itu ada kpu yang valid awas jangan curang awasi terus,"['hitungan', 'itu', 'belum', 'di', 'pastikan', 'karena', 'mesin', 'hitung', 'itu', 'ada', 'kpu', 'yang', 'valid', 'awas', 'jangan', 'curang', 'awasi', 'terus']","['hitungan', 'pastikan', 'mesin', 'hitung', 'kpu', 'valid', 'awas', 'curang', 'awasi']",hitung pasti mesin hitung kpu valid awas curang awas,CALCULATE SURE CALCULATE MACHINE CALCULATION KPU Valid Watch out to Cheat Awas
@damarnahsyun,Kenapa kok berhenti nonton barengnya uda kena mental ya❤❤❤  legowo aja lah  klu debatnya hoax apa tdk melanggar itu ya?,kenapa kok berhenti menonton barengnya sudah kena mental ya legowo saja lah kalau debatnya hoax apa tidak melanggar itu ya,"['kenapa', 'kok', 'berhenti', 'menonton', 'barengnya', 'sudah', 'kena', 'mental', 'ya', 'legowo', 'saja', 'lah', 'kalau', 'debatnya', 'hoax', 'apa', 'tidak', 'melanggar', 'itu', 'ya']","['berhenti', 'menonton', 'barengnya', 'kena', 'mental', 'legowo', 'debatnya', 'hoax', 'melanggar']",henti tonton bareng kena mental legowo debat hoax langgar,stop watching together with mental legowo Hoax Debate Langgar
@kadirpaolo3313,"Knp 02 angkanya sangat tggi karna pendukung jokowi dn perabowo yg lalu bergabung jd 1 . Rakyat puas dgn kepemimpinan jokowi dn rakyat brharap prabowo jd RI 1, bgt perabowo berpasangan dgn dgn gibran anaknya jokowi. Yaaah jgn heran presentasinya sangat tggi.. Joos 02",kenapa angkanya sangat tggi karena pendukung jokowi dan perabowo yang lalu bergabung jadi rakyat puas dengan kepemimpinan jokowi dan rakyat brharap prabowo jadi ri banget perabowo berpasangan dengan dengan gibran anaknya jokowi ya jangan heran presentasinya sangat tggi joos,"['kenapa', 'angkanya', 'sangat', 'tggi', 'karena', 'pendukung', 'jokowi', 'dan', 'perabowo', 'yang', 'lalu', 'bergabung', 'jadi', 'rakyat', 'puas', 'dengan', 'kepemimpinan', 'jokowi', 'dan', 'rakyat', 'brharap', 'prabowo', 'jadi', 'ri', 'banget', 'perabowo', 'berpasangan', 'dengan', 'dengan', 'gibran', 'anaknya', 'jokowi', 'ya', 'jangan', 'heran', 'presentasinya', 'sangat', 'tggi', 'joos']","['angkanya', 'tggi', 'pendukung', 'jokowi', 'perabowo', 'bergabung', 'rakyat', 'puas', 'kepemimpinan', 'jokowi', 'rakyat', 'brharap', 'prabowo', 'ri', 'banget', 'perabowo', 'berpasangan', 'gibran', 'anaknya', 'jokowi', 'heran', 'presentasinya', 'tggi', 'joos']",angka tggi dukung jokowi perabowo gabung rakyat puas pimpin jokowi rakyat brharap prabowo ri banget perabowo pasang gibran anak jokowi heran presentasi tggi joos,TGGI Figures Support Jokowi Perabowo Join the People Satisfied Leading Jokowi People Brharap Prabowo RI Really Gibran Gibran Anak Jokowi Wonder TGGI Joos Presentation
@kanaumi2099,"Semuga amanah,siapapun yg jadi presiden jgn sampek bela yg salah.menyalah kan yg bennar..ini harapan kita..💪💪💪💪",semuga amanahsiapapun yang jadi presiden jangan sampai bela yang salah menyalah kan yang bennar ini harapan kita,"['semuga', 'amanahsiapapun', 'yang', 'jadi', 'presiden', 'jangan', 'sampai', 'bela', 'yang', 'salah', 'menyalah', 'kan', 'yang', 'bennar', 'ini', 'harapan', 'kita']","['semuga', 'amanahsiapapun', 'presiden', 'bela', 'salah', 'menyalah', 'bennar', 'harapan']",semuga amanahsiapapun presiden bela salah salah bennar harap,May the President be wrong Bennar's wrongdo
@senopatiingalaga,"hasil yamg sangat memalukan bagi paslon no 03, dan pdip sebagai motornya.<br><br>hasil ini menunjukan bahwa kinerja pdip selama ini tidak ada apa apanya tanpa campur tangan pak dhe wiwi.<br><br>dan kesombongan megawati turut andil jebloknya suara pdip kali ini.",hasil yamg sangat memalukan bagi paslon no dan pdip sebagai motornya hasil ini menunjukan bahwa kinerja pdip selama ini tidak ada apa apanya tanpa campur tangan pak deh wiwi dan kesombongan megawati turut andil jebloknya suara pdip kali ini,"['hasil', 'yamg', 'sangat', 'memalukan', 'bagi', 'paslon', 'no', 'dan', 'pdip', 'sebagai', 'motornya', 'hasil', 'ini', 'menunjukan', 'bahwa', 'kinerja', 'pdip', 'selama', 'ini', 'tidak', 'ada', 'apa', 'apanya', 'tanpa', 'campur', 'tangan', 'pak', 'deh', 'wiwi', 'dan', 'kesombongan', 'megawati', 'turut', 'andil', 'jebloknya', 'suara', 'pdip', 'kali', 'ini']","['hasil', 'yamg', 'memalukan', 'paslon', 'no', 'pdip', 'motornya', 'hasil', 'menunjukan', 'kinerja', 'pdip', 'apanya', 'campur', 'tangan', 'deh', 'wiwi', 'kesombongan', 'megawati', 'andil', 'jebloknya', 'suara', 'pdip', 'kali']",hasil yamg malu paslon no pdip motor hasil tunjuk kerja pdip apa campur tangan deh wiwi sombong megawati andil jeblok suara pdip kali,"the results of the shame of the candidate pair no pdip motorbike the results of the PDIP employment, what interference deh wiwi arrogant megawati share the sound of pdip"
@anisutarni__,Bantengnya nyinyir sih pak..jd dengernya blenger trus pd pindah deh😂😂,bantengnya nyinyir sih pak jadi dengernya blenger terus pada pindah deh,"['bantengnya', 'nyinyir', 'sih', 'pak', 'jadi', 'dengernya', 'blenger', 'terus', 'pada', 'pindah', 'deh']","['bantengnya', 'nyinyir', 'sih', 'dengernya', 'blenger', 'pindah', 'deh']",banteng nyinyir sih dengernya blenger pindah deh,"bull nyinyir, he heard that he moved it"
@patanganteng3125,"Penyebab suara prabowo unggul.<br>1 pengikut pakjokowi masuk ke prabowo.<br>2 anak muda masuk ke prabowo karena gibran.<br>3 demo demo mendesak jokowi mundur bikin pendukung jokowowi geram ,akhirnya di balas 14 maret.<br>4 di puternya film diarty vote. Yg sengaja ingin melemahkan suara pragrib bikin pendukung ganjar hengkang.<br>5 masuknya ahok ke ganjar yg tak di sukai sebagian pengikut ganjar.<br>6 ucapan ahok yg me nganggap ,pakjokowi ,gibran tidak becus kerja. Bikin ahoker masuk ke pragrib.",penyebab suara prabowo unggul pengikut pakjokowi masuk ke prabowo anak muda masuk ke prabowo karena gibran demo demo mendesak jokowi mundur bikin pendukung jokowowi geram akhirnya di balas maret di puternya film diarty vote yang sengaja ingin melemahkan suara pragrib bikin pendukung ganjar hengkang masuknya ahok ke ganjar yang tak di sukai sebagian pengikut ganjar ucapan ahok yang me nganggap pakjokowi gibran tidak becus kerja bikin ahoker masuk ke pragrib,"['penyebab', 'suara', 'prabowo', 'unggul', 'pengikut', 'pakjokowi', 'masuk', 'ke', 'prabowo', 'anak', 'muda', 'masuk', 'ke', 'prabowo', 'karena', 'gibran', 'demo', 'demo', 'mendesak', 'jokowi', 'mundur', 'bikin', 'pendukung', 'jokowowi', 'geram', 'akhirnya', 'di', 'balas', 'maret', 'di', 'puternya', 'film', 'diarty', 'vote', 'yang', 'sengaja', 'ingin', 'melemahkan', 'suara', 'pragrib', 'bikin', 'pendukung', 'ganjar', 'hengkang', 'masuknya', 'ahok', 'ke', 'ganjar', 'yang', 'tak', 'di', 'sukai', 'sebagian', 'pengikut', 'ganjar', 'ucapan', 'ahok', 'yang', 'me', 'nganggap', 'pakjokowi', 'gibran', 'tidak', 'becus', 'kerja', 'bikin', 'ahoker', 'masuk', 'ke', 'pragrib']","['penyebab', 'suara', 'prabowo', 'unggul', 'pengikut', 'pakjokowi', 'masuk', 'prabowo', 'anak', 'muda', 'masuk', 'prabowo', 'gibran', 'demo', 'demo', 'mendesak', 'jokowi', 'mundur', 'bikin', 'pendukung', 'jokowowi', 'geram', 'balas', 'maret', 'puternya', 'film', 'diarty', 'vote', 'sengaja', 'melemahkan', 'suara', 'pragrib', 'bikin', 'pendukung', 'ganjar', 'hengkang', 'masuknya', 'ahok', 'ganjar', 'sukai', 'pengikut', 'ganjar', 'ucapan', 'ahok', 'me', 'nganggap', 'pakjokowi', 'gibran', 'becus', 'kerja', 'bikin', 'ahoker', 'masuk', 'pragrib']",sebab suara prabowo unggul ikut pakjokowi masuk prabowo anak muda masuk prabowo gibran demo demo desak jokowi mundur bikin dukung jokowowi geram balas maret puter film diarty vote sengaja lemah suara pragrib bikin dukung ganjar hengkang masuk ahok ganjar suka ikut ganjar ucap ahok me nganggap pakjokowi gibran becus kerja bikin ahoker masuk pragrib,Because Prabowo's Superior voice followed Pakjokowi into Prabowo young people entering Prabowo Gibran Demo Demo Demo Jokowi resigning made support Jokowowi furious March March Puter Film Diarty Vote deliberately weak votes Pragrib made Ganjar Ganjang Enter Ahok Ganjar like to join Ganjar said Ahok said Ahok said Ahok said that Pakjokowi Gibran became a pragrib.
@bintangbintang-r7h,Sekrg waktu bapa Prabowo jdi persden selmt yah bapa parbwo,sekrg waktu bapa prabowo jadi persden selamat ya bapa parbwo,"['sekrg', 'waktu', 'bapa', 'prabowo', 'jadi', 'persden', 'selamat', 'ya', 'bapa', 'parbwo']","['sekrg', 'bapa', 'prabowo', 'persden', 'selamat', 'bapa', 'parbwo']",sekrg bapa prabowo persden selamat bapa parbwo,Sekrg Father Prabowo Persden Safe Parbwo Father
